animal,timestep,roi,side,value
6,39,aif,li,1553.164795
7,0,aif,li,1714.091064
7,1,aif,li,1632.248657
7,2,aif,li,1577.993652
7,3,aif,li,1608.339722
7,4,aif,li,1564.199951
7,5,aif,li,1601.90271
7,6,aif,li,1623.972534
7,7,aif,li,1549.486816
7,8,aif,li,1598.224365
7,9,aif,li,1617.5354
7,10,aif,li,1523.738647
7,11,aif,li,1639.605225
7,12,aif,li,1543.96936
7,13,aif,li,1530.175659
7,14,aif,li,948.083618
7,15,aif,li,371.509003
7,16,aif,li,282.310059
7,17,aif,li,308.977783
7,18,aif,li,800.951355
7,19,aif,li,1163.264526
7,20,aif,li,1270.85498
7,21,aif,li,1238.669922
7,22,aif,li,1034.523804
7,23,aif,li,860.723816
7,24,aif,li,883.713257
7,25,aif,li,930.611633
7,26,aif,li,1048.317505
7,27,aif,li,1054.754517
7,28,aif,li,1111.768311
7,29,aif,li,1064.869873
7,30,aif,li,1127.401001
7,31,aif,li,1175.218994
7,32,aif,li,1129.240234
7,33,aif,li,1146.712158
7,34,aif,li,1146.712158
7,35,aif,li,1154.068848
7,36,aif,li,1189.932251
7,37,aif,li,1212.921631
7,38,aif,li,1183.495239
7,39,aif,li,1213.841309
8,0,aif,li,1730.269531
8,1,aif,li,1674.016357
8,2,aif,li,1501.377319
8,3,aif,li,1551.811157
8,4,aif,li,1590.606445
8,5,aif,li,1511.076172
8,6,aif,li,1600.305298
8,7,aif,li,1617.763184
8,8,aif,li,1493.618286
8,9,aif,li,1487.79895
8,10,aif,li,1662.377808
8,11,aif,li,1454.822998
8,12,aif,li,1511.076172
8,13,aif,li,1666.257324
8,14,aif,li,1037.773804
8,15,aif,li,475.242188
8,16,aif,li,345.277985
8,17,aif,li,386.013031
8,18,aif,li,490.760284
8,19,aif,li,841.857605
8,20,aif,li,1051.352051
8,21,aif,li,1171.617432
8,22,aif,li,1270.54541
8,23,aif,li,1156.099365
8,24,aif,li,958.243408
8,25,aif,li,863.195007
8,26,aif,li,876.773315
8,27,aif,li,933.026489
8,28,aif,li,971.821777
8,29,aif,li,1047.472534
8,30,aif,li,1198.77417
8,31,aif,li,1320.979248
8,32,aif,li,1305.461182
8,33,aif,li,1146.400513
8,34,aif,li,1346.196167
8,35,aif,li,1241.448975
8,36,aif,li,1237.569458
8,37,aif,li,1293.822632
8,38,aif,li,1245.328491
8,39,aif,li,1328.738403
1,0,gs,re,2249.203857
1,1,gs,re,2243.822998
1,2,gs,re,2221.810059
1,3,gs,re,2215.94043
1,4,gs,re,2247.002686
1,5,gs,re,2216.918457
1,6,gs,re,2247.736572
1,7,gs,re,2250.91626
1,8,gs,re,2210.804199
1,9,gs,re,2216.184814
1,10,gs,re,2231.593994
1,11,gs,re,2240.888184
1,12,gs,re,2243.823242
1,13,gs,re,2226.702148
1,14,gs,re,2235.507324
1,15,gs,re,2037.393433
1,16,gs,re,1868.140503
1,17,gs,re,1871.564575
1,18,gs,re,2031.278931
1,19,gs,re,2149.168701
1,20,gs,re,2187.568115
1,21,gs,re,2142.564453
1,22,gs,re,2159.686035
1,23,gs,re,2114.927002
1,24,gs,re,2102.697754
1,25,gs,re,2134.00415
1,26,gs,re,2170.937012
1,27,gs,re,2171.915283
1,28,gs,re,2145.500488
1,29,gs,re,2154.304932
1,30,gs,re,2179.497314
1,31,gs,re,2140.608398
1,32,gs,re,2156.01709
1,33,gs,re,2188.546875
1,34,gs,re,2200.04248
1,35,gs,re,2188.302246
1,36,gs,re,2181.209473
1,37,gs,re,2198.81958
1,38,gs,re,2181.209717
1,39,gs,re,2174.36084
2,0,gs,re,2785.066895
2,1,gs,re,2782.018066
2,2,gs,re,2781.713135
2,3,gs,re,2763.42041
2,4,gs,re,2757.018066
2,5,gs,re,2789.640137
2,6,gs,re,2811.286377
2,7,gs,re,2773.481445
2,8,gs,re,2743.29834
2,9,gs,re,2808.237549
2,10,gs,re,2764.944824
2,11,gs,re,2828.969482
2,12,gs,re,2810.981445
2,13,gs,re,2814.335205
2,14,gs,re,2796.347412
2,15,gs,re,2790.859619
2,16,gs,re,2555.493164
2,17,gs,re,2100.309326
2,18,gs,re,1773.78418
2,19,gs,re,1790.552612
2,20,gs,re,2002.138428
2,21,gs,re,2332.626953
2,22,gs,re,2504.273438
2,23,gs,re,2621.346924
2,24,gs,re,2712.505615
2,25,gs,re,2717.078857
2,26,gs,re,2557.932129
2,27,gs,re,2556.712646
2,28,gs,re,2565.859131
2,29,gs,re,2559.761475
2,30,gs,re,2574.395752
2,31,gs,re,2572.871338
2,32,gs,re,2594.82251
2,33,gs,re,2567.993164
2,34,gs,re,2672.261719
2,35,gs,re,2609.456787
2,36,gs,re,2622.871338
2,37,gs,re,2637.810547
2,38,gs,re,2653.664062
2,39,gs,re,2692.078857
3,0,gs,re,2070.236084
3,1,gs,re,2029.740967
